time,action,symbol,name,price,shares,amount,reason
2026-01-20 15:40:06,BUY,688115,思林杰,53.5,300,16050.0,"量价超跌 (RSI=29.2, 量比=3.0)"
2026-01-20 15:40:13,BUY,000592,平潭发展,10.63,1800,19134.0,"量价超跌 (RSI=22.4, 量比=1.9)"
2026-01-20 15:40:18,BUY,603633,徕木股份,9.21,2100,19341.0,"量价超跌 (RSI=29.0, 量比=1.8)"
2026-01-20 15:40:21,BUY,600340,华夏幸福,1.55,12900,19995.0,"量价超跌 (RSI=22.3, 量比=1.7)"
2026-01-20 15:40:22,BUY,300438,鹏辉能源,46.1,400,18440.0,"量价超跌 (RSI=22.3, 量比=1.6)"
2026-01-21 09:34:44,SELL,000592,平潭发展,9.84,1800,17712.0,止损 (-7.43%)
2026-01-21 11:48:37,BUY,600343,航天动力,31.31,600,18786.0,量价超跌 (RSI=24.9)
2026-01-22 09:34:32,SELL,600343,航天动力,29.43,600,17658.0,止损 (-6.00%)
2026-01-22 14:48:34,BUY,301391,卡莱特,75.17,200,15034.0,量价超跌 (RSI=20.1)
2026-01-23 09:44:48,SELL,600340,华夏幸福,1.75,12900,22575.0,止盈 (12.90%)
2026-01-26 09:31:27,SELL,688115,思林杰,48.32,300,14496.0,止损 (-9.68%)
